Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2688,2688,745,199,837.6834171,465.1457286,0,0,0,7.958873498,1,,30920,30920,30920,30920,6153080,0,1,Infinity,-0.02584019,0.024282576,10.20647884,6.261258455,2.045381477,1.630100229,199,68,0.5408105,0.923433875,4.820392194
ID2689,2689,86,208,1126.322115,67.71634615,0,0,0,8.13685789,1,,8397,8397,8397,8397,1746576,0,1,Infinity,-0.013256129,-0.066056,10.68196622,6.367826679,-0.17177378,1.677490101,208,66,0.600047082,0.939051919,4.576276619
ID2690,2690,87,238,103.6470588,655.1932773,0,0,0,8.703892975,1,,56526,56526,56526,56526,1.35E+07,0,1,Infinity,-0.084380997,0.24935253,10.94037985,7.346549482,-0.10190288,1.489186166,238,70,0.610366573,0.953907816,4.537426065
ID2691,2691,88,220,532.6909091,318.6772727,0,0,0,8.368283872,1,,27855,27855,27855,27855,6128100,0,1,Infinity,0.026406186,-0.118984358,8.899340053,8.052902137,1.12783784,1.105109674,220,66,0.634665183,0.944206009,4.449719092
ID2692,2692,,353,690.1388102,142.9490085,0,0,0,10.6001599,1,,21203,21203,21203,21203,7484659,0,1,Infinity,-0.187051792,0.109266083,16.33528638,7.150102207,0.104155758,2.28462278,353,92,0.52409367,0.920469361,4.896665918
ID2693,2693,89,148,59.65540541,151.25,0,0,0,6.863662518,1,,22229,22229,22229,22229,3289892,0,1,Infinity,-0.244888275,-0.06536691,7.266947618,6.764103741,1.011105269,1.07434006,148,54,0.637799332,0.942675159,4.438772657
ID2694,2694,90,201,614.7064677,49.13432836,0,0,0,7.99876785,1,,43740,43740,43740,43740,8791740,0,1,Infinity,-0.068881734,0.020497425,9.147046045,7.055758804,0.964983812,1.296394378,201,66,0.57985319,0.926267281,4.655281065
ID2695,2695,91,250,454.108,951.136,0,0,0,8.920620581,1,,23776,23776,23776,23776,5944000,0,1,Infinity,-0.206750393,-0.016324025,13.59843681,5.951771281,0.115490909,2.284771402,250,84,0.445237054,0.907441016,5.312626469
ID2696,2696,92,213,167.3192488,526.9624413,0,0,0,8.23407589,1,,40162,40162,40162,40162,8554506,0,1,Infinity,-0.078169779,-0.04130556,8.448473891,8.160258013,2.203754652,1.035319456,213,66,0.61447129,0.934210526,4.522245485
ID2697,2697,93,205,799.8390244,856.8878049,0,0,0,8.077965503,1,,4330,4330,4330,4330,887650,0,0.772274727,Infinity,-0.038009969,-0.036522081,9.421094106,7.060706408,2.574691109,1.334299086,205,68,0.557116344,0.923423423,4.749326011
ID2698,2698,94,266,1056.642857,602.9511278,0,0,0,9.201653641,1,,43757,43757,43757,43757,1.16E+07,0,1,Infinity,-0.033038286,-0.034105096,13.30043675,6.349928975,0.644653199,2.094580396,266,82,0.49712293,0.934973638,5.027742584
ID2699,2699,95,182,395.4065934,649.4615385,0,0,0,7.611333608,1,,18671,18671,18671,18671,3398122,0,1,Infinity,0.109890261,-0.012521672,9.745122215,6.119870709,-0.175398195,1.592373872,182,62,0.594973843,0.935732648,4.595745763
