Specie,CellDensity,Day,N,Condition,ID,Nitrite
PY1,10^5,25.91666667,2,Cat-,5,0.049988599
PY1,10^5,25.91666667,2,Cat-,6,0.052855655
PY1,10^5,25.91666667,2,Cat-,7,0.051708833
PY1,10^5,25.91666667,2,Cat-,8,0.052282244
PY1,10^5,25.91666667,2,Cat-,9,0.056869533
PY1,10^5,25.91666667,2,Cat-,10,0.055149299
PY1,10^5,25.91666667,2,Cat-,11,0.051135421
PY1,10^5,25.91666667,2,Cat-,12,0.055149299
PY1,10^5,25.91666667,2,Cat+,1,1
PY1,10^5,25.91666667,2,Cat+,2,1
PY1,10^5,25.91666667,2,Cat+,3,1
PY1,10^5,25.91666667,2,Cat+,4,1
PY1,10^5,25.91666667,2,Cat+,5,1
PY1,10^5,25.91666667,2,Cat+,6,1
PY1,10^5,25.91666667,2,Cat+,7,1
PY1,10^5,25.91666667,2,Cat+,8,1
PY1,10^5,25.91666667,2,Cat+,9,1
PY1,10^5,25.91666667,2,Cat+,10,1
PY1,10^5,25.91666667,2,Cat+,11,1
PY1,10^5,25.91666667,2,Cat+,12,1
PY1,10^5,25.91666667,3,Cat-,1,0.051381298
PY1,10^5,25.91666667,3,Cat-,2,0.056956113
PY1,10^5,25.91666667,3,Cat-,3,0.062530927
PY1,10^5,25.91666667,3,Cat-,4,0.057575536
PY1,10^5,25.91666667,3,Cat-,5,0.063769774
PY1,10^5,25.91666667,3,Cat-,6,0.075538827
PY1,10^5,25.91666667,3,Cat-,7,0.061911503
PY1,10^5,25.91666667,3,Cat-,8,0.062530927
PY1,10^5,25.91666667,3,Cat-,9,0.078635946
PY1,10^5,25.91666667,3,Cat-,10,0.056956113
PY1,10^5,25.91666667,3,Cat-,11,0.072441708
PY1,10^5,25.91666667,3,Cat-,12,0.06624747
PY1,10^5,25.91666667,3,Cat+,1,1
PY1,10^5,25.91666667,3,Cat+,2,1
PY1,10^5,25.91666667,3,Cat+,3,1
PY1,10^5,25.91666667,3,Cat+,4,1
PY1,10^5,25.91666667,3,Cat+,5,1
PY1,10^5,25.91666667,3,Cat+,6,1
PY1,10^5,25.91666667,3,Cat+,7,1
PY1,10^5,25.91666667,3,Cat+,8,1
PY1,10^5,25.91666667,3,Cat+,9,1
PY1,10^5,25.91666667,3,Cat+,10,1
PY1,10^5,25.91666667,3,Cat+,11,1
PY1,10^5,25.91666667,3,Cat+,12,1
PY1,10^3,29.8125,1,Cat-,1,0
PY1,10^3,29.8125,1,Cat-,2,0
PY1,10^3,29.8125,1,Cat-,3,0
PY1,10^3,29.8125,1,Cat-,4,0.016545719
PY1,10^3,29.8125,1,Cat-,5,0
PY1,10^3,29.8125,1,Cat-,6,0
PY1,10^3,29.8125,1,Cat-,7,0
PY1,10^3,29.8125,1,Cat-,8,0
PY1,10^3,29.8125,1,Cat-,9,0
PY1,10^3,29.8125,1,Cat-,10,0
PY1,10^3,29.8125,1,Cat-,11,0
PY1,10^3,29.8125,1,Cat-,12,0
PY1,10^3,29.8125,1,Cat+,1,0
PY1,10^3,29.8125,1,Cat+,2,0.305149079
PY1,10^3,29.8125,1,Cat+,3,0.070128328
PY1,10^3,29.8125,1,Cat+,4,0
PY1,10^3,29.8125,1,Cat+,5,0
PY1,10^3,29.8125,1,Cat+,6,0
PY1,10^3,29.8125,1,Cat+,7,0
PY1,10^3,29.8125,1,Cat+,8,0.735401516
PY1,10^3,29.8125,1,Cat+,9,0.555554936
PY1,10^3,29.8125,1,Cat+,10,0.177824067
PY1,10^3,29.8125,1,Cat+,11,0
PY1,10^3,29.8125,1,Cat+,12,0.039358117
PY1,10^3,29.8125,2,Cat-,1,0
PY1,10^3,29.8125,2,Cat-,2,0
